Time,ExecV1,ExecV2
-10s,93.20420705,43.53031026
-5s,-12.11577196,26.99703727
-4s,4.305368122,21.2317662
-3s,0,28.91879429
-2s,0,28.91879429
-1s,0,30.77892535
-500ms,0,30.74811237
-250ms,0,30.74811237
-100ms,0,0
0,0,0
50ms,0,-1.921757023
100ms,0,-1.921757023
250ms,0,-1.921757023
500ms,0,-5.11138716
1s,0,0.66984179
2s,0,10.26266902
3s,1.730824566,10.26266902
4s,0,10.23983498
5s,0,10.84694803
10s,-37.77443436,8.469742699
15s,-30.05080369,10.96779979
20s,-7.593470916,61.23421708
30s,19.03907022,80.33314112
45s,2.748089895,96.26416627
1m,-25.57188923,48.23172259
2m,38.44460701,91.7016394
3m,-70.79026086,172.546795
4m,60.23176713,256.7706751
5m,87.18738825,256.538702
10m,85.30703004,297.3269812
