Function,Description,Example
month,Transforms datetime/date column type to date month in yyyy-mm-01 format,"{""var"": ""Date"", ""transform"": ""month"", ""name"": ""Month""}"
date,Transforms datetime/date column type to date in yyyy-mm-dd format,"{""var"": ""ArrivalTime"", ""transform"": ""date"", ""name"": ""ArrivalDate""}"
minute,Transforms datetime/time column type to minutes,"{""var"": ""ArrivalTime"", ""transform"": ""minute"", ""name"": ""ArrivalMin""}"
second,Transforms datetime/time column type to seconds,"{""var"": ""ArrivalTime"", ""transform"": ""second"", ""name"": ""ArrivalSec""}"
time,Transforms datetime/time column type to timestamp HH:MM:SS,"{""var"": ""ArrivalTime"", ""transform"": ""time"", ""name"": ""ArrivalTime""}"
date_london ,Transforms datetime/date columntype to london date in yyyy-mm-dd format,"{""var"": ""Date"", ""transform"": ""date_london"", ""name"": ""LondonDate""},"
minute_london ,Transforms datetime/time column type to london time in minutes,"{""var"": ""ArrivalTime"", ""transform"": ""minute_london"", ""name"": ""ArrivalLondonMin""},"
second_london ,Transforms datetime/time column type to london time in seconds,"{""var"": ""ArrivalTime"", ""transform"": ""second_london"", ""name"": ""ArrivalLondonSec""},"
date_new_york ,Transforms datetime/date column type to New York date in yyyy-mm-dd format,"{""var"": ""Date"", ""transform"": ""date_new_york"", ""name"": ""NYDate""},"
minute_new_york,Transforms datetime/time column type to New York  time in minutes,"{""var"": ""ArrivalTime"", ""transform"": ""minute_new_york"", ""name"": ""ArrivalNYMin""},"
second_new_york,Transforms datetime/time column type to New York  time in seconds,"{""var"": ""ArrivalTime"", ""transform"": ""second_new_york"", ""name"": ""ArrivalNYSec""},"
date_trading   ,Transforms datetime/date column type to trading date in yyyy-mm-dd format,"{""var"": ""Date"", ""transform"": ""date_trading"", ""name"": ""TradingDate""},"
minute_trading,Transforms datetime/time column type to trading time in minutes,"{""var"": ""ArrivalTime"", ""transform"": ""minute_new_york"", ""name"": ""ArrivalTradingMin""},"
second_trading ,Transforms datetime/time column type to trading time in seconds,"{""var"": ""ArrivalTime"", ""transform"": ""second_new_york"", ""name"": ""ArrivalTradingSec""},"
