DecayPM1m,MinDecayPM1m,MaxDecayPM1m,Count,TotalVolume
-745.618760449096,-829.2481788609862,-829.2481788609862,1,873080.0
-578.3599236253156,-614.0301158152895,-495.21451359491044,6,105858.00000000001
-411.1010868015352,-486.99854368683407,-330.54465378923317,35,105603.99999999999
-243.84224997775476,-325.39035052536747,-163.51014230031603,91,105549.99999999999
-76.58341315397439,-160.18241950854772,4.750097376771123,611,105373.50000000001
90.67542366980604,9.21548570231856,174.19880320723723,538,105264.99999999999
257.9342604935864,174.6774368680537,336.8600844521064,72,107330.00000000001
425.1930973173668,349.4258084011381,492.1582781021172,23,216986.0
592.4519341411473,515.1367412080665,532.9976061055896,2,543545.0
759.7107709649276,843.3401893768178,843.3401893768178,1,3201554.9999999995
