Time,Markouts,MarkoutsAtZero,MarkoutsAtZeroAverage,Volatilities
-10s,32.50306961,-17.89032277,-9.43643825,16.25420239
-5s,21.7604861,-7.147739267,0.239160329,13.65723232
-4s,9.504026069,5.108720763,7.082085877,10.73816677
-3s,14.7958414,-0.183094563,3.069462294,10.78383371
-2s,13.09261577,1.52013106,0.474706887,7.875888602
-1s,15.47623131,-0.863484478,-3.067281012,3.575361321
-500ms,12.01444535,2.598301483,-0.235182864,3.883960646
-250ms,13.72659464,0.886152191,-1.17928869,2.962164772
-100ms,13.72659464,0.886152191,-1.17928869,2.962164772
0,14.61274683,0,0,0
50ms,14.61274683,0,0,0
100ms,14.61274683,0,0,0
250ms,14.69696396,-0.084217125,-2.122932326,1.924277268
500ms,14.3756322,0.23711463,-1.65094354,1.891869447
1s,12.97828126,1.634465568,-1.414949773,2.9480487
2s,9.427856181,5.184890651,2.125371329,5.73595363
3s,6.280191332,8.332555501,8.732366036,6.468659559
4s,6.365165375,8.247581457,8.024546756,6.455037437
5s,9.572188558,5.040558275,10.14651796,8.253131203
10s,8.786985371,5.825761461,13.44903653,11.06279903
15s,17.37804841,-2.765301573,5.894644602,11.25733119
20s,18.53199034,-3.919243506,14.86135115,16.60095024
30s,-19.62968129,34.24242812,40.11842213,24.96830255
45s,-33.91496134,48.52770818,50.26151561,27.475066
1m,-27.12321272,41.73595956,36.57007909,40.08792071
2m,-23.00629402,37.61904085,63.70822581,42.24893481
3m,-41.96893106,56.58167789,54.73551173,43.91119132
4m,-39.58057482,54.19332165,118.1983421,67.57145988
5m,-44.42122697,59.03397381,140.8357425,84.09405802
10m,-49.10571492,63.71846176,170.542217,95.41956424
