,DailyVolatilityPct,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
0,4.196421286550735,27,2546003000.0,1.672160338926974,-0.18865070356864766,6.455154956222909
1,4.7560511664503204,17,2288191000.0,-1.3879882309418123,-0.14015727420654056,4.0977722975880635
2,5.315681046349907,18,1258855473.2400002,0.05808975781614204,-0.06690917046052322,3.266033336704414
3,5.875310926249492,13,1396457628.115,-1.2185674620341702,-0.45203694678453155,5.1913774264167944
4,6.434940806149077,35,2819911008.2700005,0.5100213918243071,-0.2202892737869145,5.933172030930308
5,6.994570686048663,25,1733576359.32,-1.3408561496527198,-0.3651582866319708,3.368261795336269
6,7.554200565948248,22,1690462519.7800004,-0.9582812419995859,1.1500887519785434,8.764009967987475
7,8.113830445847833,27,2455173228.87,-0.7787466822414898,0.02683389475691496,6.270493391081104
8,8.673460325747419,4,365853734.025,-2.1097168709411065,-0.09298164048335779,5.916584750553282
9,9.233090205647004,6,276803720.33000004,1.500636009619291,-0.36771148777567336,9.474556379166746
10,TOTAL,194,16831287671.949999,-0.31618688597332983,-0.05326122551602359,5.628806605465226
