LP,Symbol,NumberOfParticipations,NumberOfWins,ActualWinRatio,ExpectedWinRatio,AverageRFQPanelSize,WinPerformanceScore
LP_5,EURUSD,593,90,15.177065767284992,16.506464305789816,6.381112984822934,-1.3293985385048241
LP_5,USDJPY,564,89,15.780141843971633,16.653157716987547,6.331560283687943,-0.8730158730159143
LP_4,GBPUSD,557,85,15.260323159784562,16.861588441480755,6.289048473967684,-1.6012652816961932
LP_5,GBPUSD,548,83,15.145985401459855,16.80570038234276,6.304744525547445,-1.6597149808829048
LP_5,AUDUSD,579,75,12.953367875647666,16.383748663541443,6.424870466321243,-3.4303807878937764
LP_6,GBPUSD,551,74,13.430127041742287,16.839080459770152,6.2994555353902,-3.408953418027865
LP_6,EURUSD,566,57,10.070671378091872,16.28806999831739,6.459363957597173,-6.217398620225518
LP_6,AUDUSD,567,55,9.700176366843033,16.474762744604046,6.4109347442680775,-6.774586377761013
LP_7,EURUSD,566,55,9.717314487632509,16.371361265354246,6.434628975265018,-6.654046777721737
LP_7,GBPUSD,550,55,10.0,16.619480519480557,6.352727272727273,-6.6194805194805575
LP_6,USDJPY,547,50,9.140767824497258,16.71454687908074,6.329067641681902,-7.573779054583481
LP_7,USDJPY,562,38,6.761565836298933,16.581935265209324,6.352313167259786,-9.820369428910391
LP_7,AUDUSD,559,37,6.618962432915922,16.31186642814553,6.454382826475849,-9.69290399522961
LP_8,AUDUSD,559,24,4.293381037567084,16.342107504898237,6.450805008944544,-12.048726467331154
LP_8,USDJPY,544,24,4.411764705882353,16.531425070028046,6.369485294117647,-12.119660364145693
LP_8,EURUSD,580,21,3.620689655172414,16.40476190476194,6.422413793103448,-12.784072249589526
LP_8,GBPUSD,546,19,3.47985347985348,16.74472353043786,6.331501831501831,-13.26487005058438
