LP,ExecVenue,Symbol,OrderStatus,TradeQuantityUSD,SpreadPnLPM,DecayPM1s,DecayPM5s,DecayPM30s,DecayPM1m,DecayPM5m
LP1,Direct,USDCAD,F,900000.0,40.71224217132324,92.52782311630625,22.206677547931264,48.114468020554746,22.206677547931264,-151.74562991093765
LP1,Direct,USDJPY,F,1300000.0,14.84732582488211,41.51034685651034,0.08441763637696321,-47.99958407234546,129.57351457386036,528.4750873344627
LP2,Direct,USDCAD,F,3000000.0,6.109031873902483,41.977334001834045,38.923874422976596,-92.61899181301678,-144.00598847448265,-233.2819011396037
LP2,Direct,USDJPY,F,4200000.0,9.846050260877048,2.7340770156282694,-9.502719681494154,44.705163550566645,-19.062667628228755,59.567847965981635
LP2,Direct,USDJPY,R,8200000.0,23.494400192522257,86.80404753527918,113.76347770868269,117.63937396514474,183.09872653969506,-205.144381483357
LP3,Direct,USDCAD,F,5000000.0,10.554157516945416,28.492568109386163,29.26498674453715,-90.44810519502008,-158.7525849745619,-299.74360142186015
LP3,Direct,USDCAD,R,2400000.0,32.9233817618986,57.92314859320858,0.349988106089031,42.03878764751552,22.22142427332763,1.104083379999126
LP3,Direct,USDJPY,F,21100000.0,-10.79959850578581,-16.078161348440076,-3.5398818373890615,66.68426365966162,94.95604203907989,132.37705372361378
LP3,Direct,USDJPY,R,800000.0,54.17509390336984,162.52528171034618,194.12741982072217,-338.59433689698017,-306.9921987867152,-492.09043629028224
LP3,Direct,USDNOK,F,1000000.0,10.55249337811919,-44.55497204169934,-53.934966155799735,3.5174977925933604,-304.2635590747578,936.2406625086361
LP4,Direct,USDCAD,F,5500000.0,25.087704565150506,39.516390743255975,22.36083421066929,126.49891692433964,30.702312375783453,-87.36656981309856
LP4,Direct,USDCHF,F,500000.0,24.690748376745052,9.876299350786155,9.876299350786155,93.8248438311362,79.01039480517902,286.41268116857964
LP4,Direct,USDJPY,F,3300000.0,-16.708820139073232,-20.820541903483885,1.2205393583732087,-24.43621678901073,-36.539303252539646,169.60293029890798
LP5,Direct,USDCAD,F,3200000.0,30.644023043429648,-1.3776577602944708,34.62922203518321,55.08217039375956,71.26276990719604,126.19048185194202
LP5,Direct,USDJPY,F,16400000.0,-5.418476211332733,-14.971584202996082,10.356984799023481,-49.75136414835745,-59.07126860818241,-114.96966881449701
LP5,Direct,USDNOK,F,2000000.0,10.552566240706724,-4.396722050381552,8.798362038936466e-05,-7.034882856860047,-48.07221276070805,609.990500410551
LP5,Direct,USDTRY,F,700000.0,98.4870447922762,6.935707379751577,16.64569771142599,40.22710280249253,116.51988397953782,192.81266515658314
LP6,Direct,USDCAD,F,2500000.0,15.666916564490753,26.066570415705925,7.801906784266067,-174.0057351952373,-125.79801817060866,-310.0063570514955
LP6,Direct,USDCAD,R,1900000.0,28.288655673759827,63.07223617913792,18.230938819275906,33.555369179822115,22.49560229845337,-16.990703656682985
LP6,Direct,USDJPY,F,10800000.0,10.765814536794977,3.31036119526628,25.126019859329006,1.2002757722831634,6.618028867903338,7.225647574349697
LP6,Direct,USDJPY,R,9700000.0,-10.81257460500616,38.152672788292215,45.98737836560451,128.7399459273047,45.78396394867544,275.9769100145267
